Nro_Veces_cob;Estado_Credit;Nro_Cuotas;Mes_pres;MES_0_Atraso;MES_1_Atraso;MES_2_Atraso;Llamada_fecha;Hora;Llamada_Resultado;Deuda_total;Estatus;Activación;Tipo_contacto;Cod_cliente;Mora
>10;0;>48;Febrero;1653.31;0;324.09;5/02/2014;18;TAT sin contacto con Titular;55564.3;BT;2012;CNE;C00040;0
>10;0;<24, 48];Febrero;1420.84;1418.66;1419.8;4/02/2014;12;MCT  Msj Con Terceros;25832.1;BT;2011;CNE;C00041;0
<=10;0;<24, 48];Febrero;1024.32;0;0;6/02/2014;13;PDP  Promesa De Pago;21595;BT;2012;CEF;C00043;0
>10;0;>48;Febrero;759.69;762.5;682.64;20/02/2014;14;TELF. NO CORRESPONDE;10334.2;BT;2011;CNE;C00045;0
>10;0;<24, 48];Febrero;1671.58;0;0;7/02/2014;12;MCT  Msj Con Terceros;20898.2;BT;2012;CNE;C00046;1
<=10;0;<24, 48];Febrero;191.69;699.62;0;11/02/2014;13;MCT  Msj Con Terceros;12211.5;BT;2012;CNE;C00047;0
<=10;0;>48;Febrero;1451.22;0;423.1;6/02/2014;12;MCT  Msj Con Terceros;19821;BT;2013;CNE;C00049;1
>10;0;<24, 48];Febrero;1167.02;0;0;3/02/2014;10;MCT  Msj Con Terceros;4593.46;BT;2012;CNE;C00050;1
>10;1;<24, 48];Febrero;403.76;0;0;5/02/2014;16;MCC  Msj Con Comp De Trab;6409.44;BT;2011;CNE;C00051;0
<=10;0;>48;Febrero;608.59;1209.62;614.19;20/02/2014;16;MCF  Msj Con Familiar;13666.8;BT;2012;CNE;C00052;0
>10;0;>48;Febrero;47.23;1397.87;0;18/02/2014;19;TELF. NO CORRESPONDE;40331.9;BT;2012;CNE;C00054;0
<=10;0;<24, 48];Febrero;21.66;0;795.75;19/02/2014;10;MCT  Msj Con Terceros;15737;BT;2013;CNE;C00055;0
>10;0;<24, 48];Febrero;663.18;664.63;658.93;13/02/2014;9;PDP  Promesa De Pago;13791.5;BT;2012;CEF;C00056;0
<=10;0;>48;Febrero;358.04;0;0;20/02/2014;9;MCT  Msj Con Terceros;5777.9;BT;2010;CNE;C00057;0
>10;0;<24, 48];Febrero;151.27;0;153.89;3/02/2014;15;MCT  Msj Con Terceros;1884.98;BT;2012;CNE;C00058;0
<=10;0;<=24;Febrero;621.97;632.01;637.7;14/02/2014;17;PAR  Promesa Parcial;621.3;BT;2013;CEF;C00060;1
>10;0;>48;Febrero;408.37;1170.67;1165.31;13/02/2014;9;MCF  Msj Con Familiar;14789.7;BT;2011;CNE;C00061;0
<=10;0;<=24;Febrero;47.29;0;0;19/02/2014;9;PDP  Promesa De Pago;1731.19;BT;2012;CEF;C00062;0
>10;0;>48;Febrero;332.77;0;333.15;11/02/2014;13;MCT  Msj Con Terceros;2994.43;BT;2010;CNE;C00064;0
<=10;0;>48;Febrero;733.41;735.75;0;4/02/2014;16;MCT  Msj Con Terceros;;BT;2012;CNE;C00065;0
>10;0;>48;;1941.43;1.72;0;3/02/2014;10;PDP  Promesa De Pago;;BT;2012;CEF;C00066;0
<=10;0;<24, 48];;131.7;263.74;264.18;24/02/2014;14;MCT  Msj Con Terceros;;BT;2013;CNE;C00067;0
<=10;0;>48;;2028.47;3047.2;0;11/02/2014;9;MCO  Msj Con Conyuge;26481.1;BT;2013;CEF;C00069;0
<=10;0;<24, 48];Febrero;2305.97;0;0;28/02/2014;8;MCT  Msj Con Terceros;20515;BT;2013;CNE;C00071;1
<=10;0;>48;Febrero;1518.39;0;0;5/02/2014;19;MCF  Msj Con Familiar;22994.3;BT;2013;CNE;C00072;1
>10;0;>48;Febrero;715.94;0;357.28;13/02/2014;15;TAT  Tratamiento al Titu;5443.86;BT;2011;CEF;C00073;1
<=10;0;<24, 48];Febrero;746.32;0;0;3/02/2014;18;TELF. NO CORRESPONDE;16525.5;BT;2013;CNE;C00074;0
<=10;0;<24, 48];Febrero;1569.31;0;0;11/02/2014;12;MCF  Msj Con Familiar;18654.2;BT;2012;CNE;C00075;1
<=10;0;<24, 48];Febrero;502.29;0;503.93;19/02/2014;8;PDP  Promesa De Pago;13167.5;BT;2013;CEF;C00077;0
>10;0;<24, 48];Febrero;123.64;651.18;1095.72;11/02/2014;12;PDP  Promesa De Pago;19009.7;BT;2011;CEF;C00078;0
>10;0;>48;Febrero;1642.75;0;0;6/02/2014;17;MCS  Msj Con Secretaria;12496;BT;2012;CNE;C00080;1
<=10;0;<24, 48];Febrero;253.19;253;254.08;26/02/2014;16;TELF. NO CORRESPONDE;2739.17;BT;2012;CNE;C00081;0
>10;0;>48;Febrero;457.07;922.7;1393.47;7/02/2014;14;TELF. NO CORRESPONDE;10292.9;BT;2012;CNE;C00082;0
>10;0;<24, 48];Febrero;108.91;0;0;11/02/2014;7;PDP  Promesa De Pago;1577.7;BT;2012;CEF;C00083;0
<=10;0;<24, 48];Febrero;348.65;348.65;0;27/02/2014;8;TAT  Tratamiento al Titu;4922.87;BT;2011;CEF;C00084;0
<=10;0;<24, 48];Febrero;230.48;228.77;232.68;6/02/2014;20;TAT  Tratamiento al Titu;3037.76;BT;2012;CEF;C00085;0
>10;0;<24, 48];Febrero;321.87;198.05;228.74;5/02/2014;12;MCF  Msj Con Familiar;8117.28;BT;2011;CNE;C00087;0
<=10;0;>48;Febrero;859.02;1725.94;0;7/02/2014;9;TAT  Tratamiento al Titu;24734.5;BT;2013;CEF;C00088;0
>10;0;>48;Febrero;120.89;120.97;121;12/02/2014;9;TELF. NO CORRESPONDE;1486.35;BT;2011;CNE;C00089;0
>10;0;<24, 48];Febrero;266.61;0;0;6/02/2014;12;MCO  Msj Con Conyuge;1034.77;BT;2011;CEF;C00090;0
>10;0;<24, 48];Febrero;426.16;425.53;0;14/02/2014;11;PAR  Promesa Parcial;2810.4;BT;2011;CEF;C00091;0
<=10;0;<24, 48];Febrero;1898.43;0;0;5/02/2014;16;MCO  Msj Con Conyuge;12572.7;BT;2011;CEF;C00092;1
>10;0;<24, 48];Febrero;366.64;366.16;362.61;4/02/2014;7;TAT  Tratamiento al Titu;1042.37;BT;2011;CEF;C00093;0
<=10;0;>48;Febrero;461.3;460.51;0;13/02/2014;9;TELF. NO CORRESPONDE;7044.12;BT;2011;CNE;C00094;0
<=10;0;>48;Febrero;1839.93;1899.59;0;5/02/2014;18;MCF  Msj Con Familiar;;BT;2013;CNE;C00095;0
>10;0;>48;Febrero;455.28;0;0;14/02/2014;12;PAR  Promesa Parcial;9310.3;BT;2012;CEF;C00096;0
<=10;0;<24, 48];Febrero;2540.53;0;0;7/02/2014;14;TELF. NO CORRESPONDE;47253.7;BT;2011;CNE;C00099;0
>10;0;>48;Febrero;1494.37;1424.89;0;4/02/2014;17;TAT  Tratamiento al Titu;51194.3;BT;2011;CEF;C00100;0
<=10;0;<24, 48];Febrero;2447.99;0;137.21;4/02/2014;9;PDP  Promesa De Pago;73059.9;BT;2013;CEF;C00101;0
<=10;0;<24, 48];Febrero;165.8;0;0;25/02/2014;10;MCT  Msj Con Terceros;14537.4;BT;2013;CNE;C00102;0
<=10;0;>48;;2664.09;0;0;28/02/2014;20;MCT  Msj Con Terceros;49529.6;BT;2013;CNE;C00103;1
>10;0;>48;Febrero;138.89;108.32;355.44;3/02/2014;15;MCT  Msj Con Terceros;3990.31;BT;2011;CNE;C00104;0
<=10;0;<24, 48];Febrero;184.62;0;174;6/02/2014;8;MCF  Msj Con Familiar;5361.23;BT;2013;CNE;C00105;0
<=10;0;<24, 48];Febrero;877.75;0.52;0;4/02/2014;14;PDP  Promesa De Pago;25731.5;BT;2013;CEF;C00106;0
<=10;0;<24, 48];Febrero;2479.12;0;0;20/02/2014;17;MCT  Msj Con Terceros;24952.8;BT;2012;CNE;C00107;1
<=10;0;<24, 48];Febrero;438.61;0;0;4/02/2014;7;PDP  Promesa De Pago;10213;BT;2012;CEF;C00108;0
<=10;0;>48;Febrero;1227.91;0;0;3/02/2014;8;MCT  Msj Con Terceros;45741;BT;2013;CNE;C00109;0
<=10;0;>48;Febrero;317.91;0;358.43;25/02/2014;8;TELF. NO CORRESPONDE;6662.66;BT;2012;CNE;C00110;0
<=10;0;<=24;Febrero;315.33;633.91;956.46;11/02/2014;9;MCT  Msj Con Terceros;3196.97;BT;2013;CNE;C00111;0
<=10;0;>48;Febrero;1219.04;0;0;27/02/2014;7;TAT  Tratamiento al Titu;4069.57;BT;2010;CEF;C00112;1
>10;0;>48;Febrero;42.17;304.87;50.9;11/02/2014;15;MCT  Msj Con Terceros;5109.12;BT;2011;CNE;C00113;0
<=10;0;<24, 48];Febrero;990.14;0;0;12/02/2014;14;MCT  Msj Con Terceros;28213.8;BT;2013;CNE;C00114;0
<=10;0;<24, 48];Febrero;301.82;82.91;303.95;14/02/2014;14;TELF. NO CORRESPONDE;4285.29;BT;2012;CNE;C00116;0
>10;0;<24, 48];Febrero;804.7;939.91;108.24;13/02/2014;16;PDP  Promesa De Pago;22292;BT;2012;CEF;C00117;0
<=10;0;<24, 48];Febrero;636.92;638.95;1281.45;10/02/2014;7;PAR  Promesa Parcial;16359.7;BT;2012;CEF;C00118;0
<=10;0;<=24;Febrero;630.6;636.63;0;20/02/2014;18;MCF  Msj Con Familiar;629.93;BT;2013;CNE;C00121;1
>10;0;<24, 48];Febrero;775.63;772.88;1163.29;18/02/2014;19;MCF  Msj Con Familiar;4533.27;BT;2011;CNE;C00122;1
>10;0;>48;Febrero;435.02;434.94;0;18/02/2014;12;MCF  Msj Con Familiar;7286.48;BT;2011;CNE;C00123;0
<=10;0;<24, 48];Febrero;1409.41;0;0;21/02/2014;17;MCT  Msj Con Terceros;12255.2;BT;2013;CNE;C00124;1
>10;0;<24, 48];Febrero;845.4;845.57;842.01;12/02/2014;16;PDP  Promesa De Pago;11482.9;BT;2011;CEF;C00125;0
<=10;0;<24, 48];Febrero;38.64;0;0;5/02/2014;7;PDP  Promesa De Pago;4879.99;BT;2013;CEF;C00126;0
<=10;0;<24, 48];Febrero;183.05;0;1443.78;7/02/2014;12;PDP  Promesa De Pago;45493.5;BT;2013;CEF;C00128;0
<=10;0;<=24;Febrero;1647.43;;1218.41;12/02/2014;10;PAR  Promesa Parcial;10177.2;BT;2013;CEF;C00129;1
<=10;0;>48;Febrero;3133.46;0;0;28/02/2014;18;MCF  Msj Con Familiar;32661.3;BT;2013;CNE;C00130;1
<=10;0;<24, 48];Febrero;205.89;0;0;7/02/2014;9;MCO  Msj Con Conyuge;10143.5;BT;2012;CEF;C00131;0
<=10;0;<24, 48];Febrero;777.96;777.4;0;19/02/2014;7;PDP  Promesa De Pago;23721.2;BT;2013;CEF;C00132;0
<=10;0;>48;Febrero;168.29;0;0;5/02/2014;14;CAN  Cliente Cancelo;22581.8;BT;2013;CNE;C00133;0
<=10;0;<24, 48];Febrero;683.01;0;0;18/02/2014;12;PDP  Promesa De Pago;16507.1;BT;2013;CEF;C00135;0
>10;0;<24, 48];Febrero;116.91;0;130.98;3/02/2014;15;PDP  Promesa De Pago;1637.96;BT;2012;CEF;C00136;0
<=10;0;<=24;Febrero;506.22;0;0;3/02/2014;12;PDP  Promesa De Pago;4218.25;BT;2013;CEF;C00137;0
<=10;0;<24, 48];Febrero;248.47;329.63;164.38;27/02/2014;16;MCO  Msj Con Conyuge;2891.52;BT;2012;CEF;C00139;1
<=10;0;>48;Febrero;310.15;506.6;0;11/02/2014;7;MCO  Msj Con Conyuge;10440.7;BT;2012;CEF;C00141;0
>10;0;>48;Febrero;553.72;316.99;109.39;11/02/2014;7;PDP  Promesa De Pago;18274.9;BT;2011;CEF;C00142;0
<=10;0;<24, 48];Febrero;2587.07;0;0;5/02/2014;13;MCT  Msj Con Terceros;12707.2;BT;2011;CNE;C00143;1
<=10;0;<24, 48];Febrero;356.02;356.02;0;18/02/2014;11;TAT  Tratamiento al Titu;9343.63;BT;2013;CEF;C00145;0
>10;0;>48;Febrero;291.87;786.27;592.5;5/02/2014;17;TAT sin contacto con Titular;17007.6;BT;2012;CNE;C00146;0
<=10;0;<=24;Febrero;92.65;188.08;377.94;12/02/2014;9;PDP  Promesa De Pago;2689.35;BT;2013;CEF;C00147;0
>10;0;<24, 48];Febrero;261.01;257.8;0;3/02/2014;14;MCF  Msj Con Familiar;1191.74;BT;2011;CNE;C00148;0
>10;0;<24, 48];Febrero;197.49;2.12;186.62;17/02/2014;13;PDP  Promesa De Pago;4601.97;BT;2012;CEF;C00150;0
>10;0;<24, 48];Febrero;397.36;0;0;6/02/2014;14;TELF. NO CORRESPONDE;8023.8;BT;2012;CNE;C00151;0
<=10;0;>48;Febrero;196.64;0;313.34;3/02/2014;15;PDP  Promesa De Pago;8184.78;BT;2013;CEF;C00152;0
<=10;0;<=24;Febrero;735.42;740.86;0;21/02/2014;19;TELF. NO CORRESPONDE;734.65;BT;2013;CNE;C00154;1
<=10;0;<24, 48];Febrero;566.45;0;0;7/02/2014;9;TAT  Tratamiento al Titu;14458.9;BT;2012;CEF;C00155;0
<=10;0;>48;Febrero;407.92;0;0;;10;MCT  Msj Con Terceros;9920.25;BT;2013;CNE;C00157;1
>10;0;<24, 48];Febrero;276.88;0;0;3/02/2014;13;PDP  Promesa De Pago;5718.96;BT;2011;CEF;C00158;0
<=10;0;>48;Febrero;983.64;0;0;19/02/2014;18;PDP  Promesa De Pago;44066.8;BT;2012;CEF;C00159;0
<=10;0;<24, 48];Febrero;1297.78;0;0;6/02/2014;11;TELF. NO CORRESPONDE;9145.02;BT;2013;CNE;C00160;1
<=10;0;>48;Febrero;321.57;321.69;221.48;6/02/2014;14;TAT  Tratamiento al Titu;7562.75;BT;2012;CEF;C00162;0
<=10;0;<24, 48];Febrero;735.15;0;0;20/02/2014;8;MCO  Msj Con Conyuge;4815.32;BT;2013;CEF;C00164;1
>10;0;<24, 48];Febrero;300.04;300.59;300.83;5/02/2014;9;PDP  Promesa De Pago;5388.72;BT;2011;CEF;C00165;0
<=10;0;>48;Febrero;502.72;0;0;4/02/2014;12;MCT  Msj Con Terceros;12574.9;BT;2013;CNE;C00168;0
<=10;0;>48;Febrero;350.2;288.88;351.34;7/02/2014;15;TAT  Tratamiento al Titu;7176.16;BT;2012;CEF;C00169;0
<=10;0;<24, 48];Febrero;650.47;619.57;617.13;24/02/2014;16;TAT  Tratamiento al Titu;8684.43;BT;2011;CEF;C00170;1
<=10;0;<24, 48];Febrero;189.77;0.31;190.31;14/02/2014;11;MCT  Msj Con Terceros;3753.99;BT;2012;CNE;C00171;0
>10;0;<24, 48];Febrero;854.36;1432.02;0;7/02/2014;8;MCT  Msj Con Terceros;10231.9;BT;2012;CNE;C00172;1
<=10;0;<24, 48];Febrero;627.06;1321.46;0;14/02/2014;12;PAR  Promesa Parcial;20149;BT;2012;CEF;C00175;1
<=10;0;<=24;Febrero;567.83;576.25;577.34;14/02/2014;16;MCF  Msj Con Familiar;5409.32;BT;2012;CNE;C00177;0
<=10;0;<24, 48];Febrero;3935.02;3938.06;5260.39;5/02/2014;14;RPP  Recordar Promesa;35720.3;BT;2013;CEF;C00178;1
<=10;0;<24, 48];Febrero;281.04;0;87.58;13/02/2014;8;MCT  Msj Con Terceros;3956.03;BT;2012;CNE;C00179;0
>10;0;<24, 48];Febrero;612.29;1978.9;2263.14;10/02/2014;11;TELF. NO CORRESPONDE;33222.4;BT;2011;CNE;C00180;0
>10;0;<24, 48];Febrero;670.62;1157.7;0;17/02/2014;7;PDP  Promesa De Pago;28372.4;BT;2012;CEF;C00181;0
<=10;0;<24, 48];Febrero;866.99;0;0;20/02/2014;11;MCT  Msj Con Terceros;8899.63;BT;2012;CNE;C00182;1
<=10;0;<24, 48];Febrero;333.5;332.57;;7/02/2014;18;IPT  Inbound PDP Total;6310.46;BT;2013;CEF;C00183;0
<=10;0;<24, 48];Febrero;1999.51;0;0;12/02/2014;13;MCO  Msj Con Conyuge;67685.3;BT;2012;CEF;C00184;0
<=10;0;<=24;Febrero;555.38;261.51;0;5/02/2014;17;MCT  Msj Con Terceros;555.67;BT;2013;CNE;C00186;1
<=10;0;<=24;Febrero;300.92;453.54;608.15;12/02/2014;15;MCT  Msj Con Terceros;1350.95;BT;2012;CNE;C00187;1
>10;0;<24, 48];Febrero;289.39;289.93;289.13;5/02/2014;15;PDP  Promesa De Pago;5435.37;BT;2012;CEF;C00188;0
<=10;0;>48;Febrero;669.64;0;0;24/02/2014;8;MCT  Msj Con Terceros;71472.4;BT;2012;CNE;C00189;0
<=10;0;>48;Febrero;795.82;0;0;4/02/2014;14;MCE  Msj Con Empleada;69867.7;BT;2012;CNE;C00190;0
<=10;0;<24, 48];Febrero;151.96;0;0;3/02/2014;11;PDP  Promesa De Pago;1951.22;BT;2012;CEF;C00192;0
<=10;0;<24, 48];Febrero;101.02;87.23;0;3/02/2014;15;MCF  Msj Con Familiar;3581.74;BT;2013;CNE;C00193;0
>10;0;<24, 48];Febrero;219;153.74;153.53;7/02/2014;15;MCO  Msj Con Conyuge;3381.32;BT;2012;CEF;C00194;0
<=10;0;<=24;Febrero;253.35;0;0;6/02/2014;13;IPT  Inbound PDP Total;5015.85;BT;2013;CEF;C00195;0
>10;0;<24, 48];Febrero;158.2;239.91;0;25/02/2014;9;PDP  Promesa De Pago;2652.41;BT;2012;CEF;C00196;0
<=10;1;<24, 48];Febrero;2377.84;0;0;10/02/2014;13;RPP  Recordar Promesa;21615.2;BT;2013;CEF;C00197;1
>10;0;<24, 48];Febrero;155.08;156.69;155.67;7/02/2014;11;PAR  Promesa Parcial;1338.89;BT;2011;CEF;C00199;0
<=10;0;<=24;Febrero;266.45;266.46;266.55;19/02/2014;11;MCT  Msj Con Terceros;1268.52;BT;2011;CNE;C00203;0
<=10;0;<24, 48];Febrero;1197.02;1701.98;0;25/02/2014;19;IPP  Inbound Promesa Par;14819.4;BT;2013;CEF;C00204;1
<=10;1;<24, 48];Febrero;1271.19;0;0;24/02/2014;7;PDP  Promesa De Pago;10575.4;BT;2013;CEF;C00205;1
<=10;0;<24, 48];Febrero;945.73;960.47;962.83;3/02/2014;7;MCF  Msj Con Familiar;19866.1;BT;2013;CNE;C00206;0
<=10;0;<24, 48];Febrero;838.92;0;0;7/02/2014;11;TELF. NO CORRESPONDE;8572.74;BT;2012;CNE;C00207;1
<=10;0;<24, 48];Febrero;702.11;911.18;0;5/02/2014;7;PAR  Promesa Parcial;28357.1;BT;2013;CEF;C00209;0
>10;1;<24, 48];Febrero;2531.77;0;0;4/02/2014;10;MCT  Msj Con Terceros;17017.9;BT;2012;CNE;C00210;1
<=10;0;<24, 48];Febrero;301.29;0;0;20/02/2014;8;TELF. NO CORRESPONDE;13216.3;BT;2013;CNE;C00212;0
>10;0;<24, 48];Febrero;575.88;568.07;1171.46;19/02/2014;13;MCF  Msj Con Familiar;4472.66;BT;2011;CNE;C00213;0
<=10;0;<24, 48];Febrero;571.22;561.78;562.02;7/02/2014;11;MCF  Msj Con Familiar;10527.3;BT;2013;CNE;C00214;0
>10;0;>48;Febrero;513.39;508.4;;4/02/2014;14;TELF. NO CORRESPONDE;7013.97;BT;2011;CNE;C00216;0
>10;0;<24, 48];Febrero;136.18;204.33;0;20/02/2014;17;MCT  Msj Con Terceros;4683.74;BT;2012;CNE;C00218;0
<=10;0;>48;Febrero;242.7;0;145.22;11/02/2014;15;PDP  Promesa De Pago;14710.2;BT;2011;CEF;C00219;0
>10;0;>48;Febrero;1951.03;0;0;21/02/2014;8;TAT  Tratamiento al Titu;45789.5;BT;2011;CEF;C00220;0
>10;0;<24, 48];Febrero;434.15;24.35;232.7;18/02/2014;8;PDP  Promesa De Pago;9815.12;BT;2011;CEF;C00222;0
>10;0;<24, 48];Febrero;244.7;173.22;176.96;28/02/2014;9;PDP  Promesa De Pago;6770.65;BT;2011;CEF;C00223;0
>10;0;>48;Febrero;436.78;437.38;875.81;6/02/2014;13;PDP  Promesa De Pago;5602.74;BT;2011;CEF;C00224;0
<=10;0;<24, 48];Febrero;354.08;0;545.96;10/02/2014;18;CAN  Cliente Cancelo;13628.6;BT;2013;CNE;C00225;0
<=10;0;<24, 48];Febrero;365.86;0;0;13/02/2014;9;MCF  Msj Con Familiar;18745.5;BT;2012;CNE;C00226;0
<=10;0;<24, 48];Febrero;805.33;808.08;0;13/02/2014;13;MCT  Msj Con Terceros;21670.3;BT;2012;CNE;C00228;0
<=10;0;>48;Febrero;261.17;59.48;188.93;4/02/2014;9;TELF. NO CORRESPONDE;8151.22;BT;2013;CNE;C00230;0
>10;0;<24, 48];Febrero;217.64;0;319.05;3/02/2014;12;PDP  Promesa De Pago;1265.01;BT;2010;CEF;C00231;0
>10;0;<24, 48];Febrero;1921.96;0.83;0;3/02/2014;8;PDP  Promesa De Pago;49776.3;BT;2012;CEF;C00232;0
>10;0;>48;Febrero;2275.98;0;0;3/02/2014;10;TELF. NO CORRESPONDE;24549.5;BT;2012;CNE;C00233;1
>10;0;<24, 48];Febrero;303.93;547.9;0;7/02/2014;8;MCT  Msj Con Terceros;13721.6;BT;2011;CNE;C00235;0
<=10;0;>48;Febrero;2039.22;0;0;6/02/2014;10;MCE  Msj Con Empleada;33717.1;BT;2010;CNE;C00238;0
>10;0;<24, 48];Febrero;303.2;607.81;306.94;28/02/2014;11;MCO  Msj Con Conyuge;1494.54;BT;2011;CEF;C00239;0
>10;0;>48;Febrero;806.11;0;0;3/02/2014;16;MCF  Msj Con Familiar;16219.5;BT;2011;CNE;C00240;0
>10;0;<24, 48];Febrero;1691.43;848.46;1693.96;21/02/2014;12;MCT  Msj Con Terceros;41868.7;BT;2012;CNE;C00241;0
<=10;0;>48;Febrero;36.62;1.52;830.37;3/02/2014;8;MCO  Msj Con Conyuge;24563.8;BT;2013;CEF;C00242;0
>10;0;<24, 48];Febrero;269.77;0;0;3/02/2014;13;PDP  Promesa De Pago;2368.32;BT;2011;CEF;C00243;0
>10;0;<24, 48];Febrero;107.6;0;0;3/02/2014;11;PDP  Promesa De Pago;1053.34;BT;2011;CEF;C00244;0
<=10;0;<24, 48];Febrero;206.47;207.4;208.85;20/02/2014;11;MCT  Msj Con Terceros;16959.1;BT;2013;CNE;C00245;0
>10;0;>48;Febrero;178.62;179.19;13.67;24/02/2014;10;PDP  Promesa De Pago;4384.85;BT;2012;CEF;C00246;0
>10;0;<24, 48];Febrero;1415.2;1418.21;0;19/02/2014;13;PDP  Promesa De Pago;31804;BT;2012;CEF;C00248;0
<=10;0;>48;Febrero;776.12;0;0;3/02/2014;12;PDP  Promesa De Pago;30087.9;BT;2013;CEF;C00249;0
<=10;0;<24, 48];Febrero;61.64;0;0;5/02/2014;15;TAT  Tratamiento al Titu;10845.2;BT;2012;CEF;C00252;0
