ID.Cliente;Genero;Mayor65años;Socio;Dependientes;pemanencia;PhoneService;MultipleLineas;Internet;SeguridadOnline;Backup;ProteccionDispositivo;No servicio Internet;TVPago;PeliculasStreaming;TerminoContrato;FactElectronica;MetodoPago;CargoMensual;ImporteTotal;Churn
5129-JLPIS;Masculino;0;No;No;25;Si;No;Fibra Optica;Si;No;Si;Si;Si;Si;Mes a mes;Si;Cheque electronico;105.5;2686.05;No
3655-SNQYZ;Femenino;0;Si;;69;Si;Si;Fibra Optica;Si;Si;Si;Si;Si;Si;Dos años;No;TarjetaCredito (automatico);113.25;7895.15;No
8191-XWSZG;Femenino;0;No;No;52;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;20.65;1022.95;No
9959-WOFKT;Masculino;0;No;Si;71;Si;Si;Fibra Optica;Si;No;Si;No;Si;Si;Dos años;No;TransfBanca (automatica);106.7;7382.25;No
4190-MFLUW;Femenino;0;Si;Si;10;Si;No;DSL;No;No;Si;Si;No;No;Mes a mes;No;TarjetaCredito (automatico);55.2;528.35;Si
4183-MYFRB;Femenino;0;No;No;21;Si;No;Fibra Optica;No;Si;Si;No;No;Si;Mes a mes;Si;Cheque electronico;90.05;1862.9;No
8779-QRDMV;Masculino;1;No;No;1;No;No servicio tel;DSL;No;No;Si;No;No;Si;Mes a mes;Si;Cheque electronico;39.65;39.65;Si
1680-VDCWW;Masculino;0;Si;No;12;Si;No;No;No servicio Internet;No servicio Internet;;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;TransfBanca (automatica);19.8;202.25;No
1066-JKSGK;Masculino;0;No;No;1;Si;No;No;No servicio Internet;No servicio Internet;;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.15;20.15;Si
3638-WEABW;Femenino;0;Si;No;58;Si;Si;DSL;No;Si;;Si;No;No;Dos años;Si;TarjetaCredito (automatico);59.9;3505.1;No
6322-HRPFA;Masculino;0;;Si;49;Si;No;DSL;Si;Si;;Si;No;No;Mes a mes;No;TarjetaCredito (automatico);59.6;2970.3;No
6865-JZNKO;Femenino;0;No;No;30;Si;No;DSL;Si;Si;;No;No;No;Mes a mes;Si;TransfBanca (automatica);55.3;1530.6;No
6467-CHFZW;Masculino;0;Si;Si;47;Si;Si;Fibra Optica;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;99.35;4749.15;Si
8665-UTDHZ;Masculino;0;Si;Si;1;No;No servicio tel;DSL;No;Si;No;No;No;No;Mes a mes;No;Cheque electronico;30.2;30.2;Si
5248-YGIJN;Masculino;0;Si;No;72;Si;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);90.25;6369.45;No
8773-HHUOZ;Femenino;0;No;Si;17;Si;No;DSL;No;No;No;No;Si;Si;Mes a mes;Si;Cheque fisico;64.7;1093.1;Si
3841-NFECX;Femenino;1;Si;No;71;Si;Si;Fibra Optica;Si;Si;Si;Si;No;No;Dos años;Si;TarjetaCredito (automatico);96.35;6766.95;No
4929-XIHVW;Masculino;1;Si;No;2;Si;No;Fibra Optica;No;No;Si;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);95.5;181.65;No
6827-IEAUQ;Femenino;0;Si;Si;27;Si;No;DSL;Si;Si;Si;Si;No;No;Un año;No;Cheque fisico;66.15;1874.45;No
7310-EGVHZ;Masculino;0;No;No;1;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;TransfBanca (automatica);20.2;20.2;No
3413-BMNZE;Masculino;1;No;No;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;TransfBanca (automatica);45.25;45.25;No
6234-RAAPL;Femenino;0;Si;Si;72;Si;Si;Fibra Optica;Si;Si;No;Si;Si;No;Dos años;No;TransfBanca (automatica);99.9;7251.7;No
6047-YHPVI;Masculino;0;No;No;5;Si;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;69.7;316.9;Si
6572-ADKRS;Femenino;0;No;No;46;Si;No;Fibra Optica;No;No;Si;No;No;No;Mes a mes;Si;TarjetaCredito (automatico);74.8;3548.3;No
5380-WJKOV;Masculino;0;No;No;34;Si;Si;Fibra Optica;No;Si;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;106.35;3549.25;Si
8168-UQWWF;Femenino;0;No;No;11;Si;Si;Fibra Optica;No;No;Si;No;Si;Si;Mes a mes;Si;TransfBanca (automatica);97.85;1105.4;Si
8865-TNMNX;Masculino;0;Si;Si;10;Si;No;DSL;No;Si;No;No;No;No;Un año;No;Cheque fisico;49.55;475.7;No
9489-DEDVP;Femenino;0;Si;Si;70;Si;Si;DSL;Si;Si;No;No;Si;No;Dos años;Si;TarjetaCredito (automatico);69.2;4872.35;No
9867-JCZSP;Femenino;0;Si;Si;17;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;;No;Cheque fisico;20.75;418.25;No
4671-VJLCL;Femenino;0;No;No;63;Si;Si;DSL;Si;Si;Si;Si;Si;No;;Si;TarjetaCredito (automatico);79.85;4861.45;No
4080-IIARD;Femenino;0;Si;No;13;Si;Si;DSL;Si;Si;No;Si;Si;No;Mes a mes;Si;Cheque electronico;76.2;981.45;No
3714-NTNFO;Femenino;0;No;No;49;Si;Si;Fibra Optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;84.5;3906.7;No
5948-UJZLF;Masculino;0;No;No;2;Si;No;DSL;;Si;No;No;No;No;Mes a mes;No;Cheque fisico;49.25;97;No
7760-OYPDY;Femenino;0;No;No;2;Si;No;Fibra Optica;;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;80.65;144.15;Si
7639-LIAYI;Masculino;0;No;No;52;Si;Si;DSL;Si;No;No;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);79.75;4217.8;No
2954-PIBKO;Femenino;0;Si;Si;69;Si;Si;DSL;Si;No;Si;Si;No;No;Dos años;Si;TarjetaCredito (automatico);64.15;4254.1;No
8012-SOUDQ;Femenino;1;No;No;43;Si;Si;Fibra Optica;No;Si;No;No;Si;No;Mes a mes;Si;Cheque electronico;90.25;3838.75;No
9420-LOJKX;Femenino;0;No;No;15;Si;No;Fibra Optica;Si;Si;No;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);99.1;1426.4;Si
6575-SUVOI;Femenino;1;Si;No;25;Si;Si;DSL;Si;No;No;Si;Si;No;Mes a mes;Si;TarjetaCredito (automatico);69.5;1752.65;No
7495-OOKFY;Femenino;1;Si;No;8;Si;Si;Fibra Optica;No;Si;No;No;No;No;Mes a mes;Si;TarjetaCredito (automatico);80.65;633.3;Si
4667-QONEA;Femenino;1;Si;Si;60;Si;No;DSL;Si;Si;Si;Si;No;Si;Un año;Si;TarjetaCredito (automatico);74.85;4456.35;No
1658-BYGOY;Masculino;1;No;No;18;Si;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;95.45;1752.55;Si
8769-KKTPH;Femenino;0;Si;Si;63;Si;Si;Fibra Optica;Si;No;No;No;Si;Si;Un año;Si;TarjetaCredito (automatico);99.65;6311.2;No
5067-XJQFU;Masculino;1;Si;Si;66;Si;Si;Fibra Optica;No;Si;Si;Si;Si;Si;Un año;Si;Cheque electronico;108.45;7076.35;No
3957-SQXML;Femenino;0;Si;Si;34;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);24.95;894.3;No
5954-BDFSG;Femenino;0;No;No;72;Si;Si;Fibra Optica;No;No;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);107.5;7853.7;No
0434-CSFON;Femenino;0;Si;No;47;Si;Si;Fibra Optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;100.5;4707.1;No
1215-FIGMP;Masculino;0;No;No;60;Si;Si;Fibra Optica;No;Si;No;No;Si;No;Mes a mes;Si;TransfBanca (automatica);89.9;5450.7;No
0526-SXDJP;Masculino;0;Si;No;72;No;No servicio tel;DSL;Si;Si;Si;No;No;No;Dos años;No;TransfBanca (automatica);42.1;2962;No
0557-ASKVU;Femenino;0;Si;Si;18;Si;No;DSL;No;No;Si;Si;No;No;Un año;Si;TarjetaCredito (automatico);54.4;957.1;No
5698-BQJOH;Femenino;0;No;No;9;Si;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;No;Cheque electronico;94.4;857.25;Si
5122-CYFXA;Femenino;0;;No;3;Si;No;DSL;No;Si;No;Si;Si;Si;Mes a mes;Si;Cheque electronico;75.3;244.1;No
8627-ZYGSZ;Masculino;0;;No;47;Si;Si;Fibra Optica;No;Si;No;No;No;No;Un año;Si;Cheque electronico;78.9;3650.35;No
3410-YOQBQ;Femenino;0;No;No;31;Si;No;DSL;No;Si;Si;Si;Si;Si;Dos años;No;Cheque fisico;79.2;2497.2;No
3170-NMYVV;Femenino;0;Si;Si;50;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);20.15;930.9;No
7410-OIEDU;Masculino;0;No;No;10;Si;No;Fibra Optica;Si;No;Si;No;No;No;Mes a mes;Si;Cheque fisico;79.85;887.35;No
2273-QCKXA;Masculino;0;No;No;1;Si;No;DSL;No;No;No;Si;No;No;Mes a mes;No;Cheque fisico;49.05;49.05;No
0731-EBJQB;Femenino;0;Si;Si;52;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;Cheque electronico;20.4;1090.65;No
1891-QRQSA;Masculino;1;Si;Si;64;Si;Si;Fibra Optica;Si;No;Si;Si;Si;Si;Dos años;Si;TransfBanca (automatica);111.6;7099;No
8028-PNXHQ;Masculino;0;Si;Si;62;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TransfBanca (automatica);24.25;1424.6;No
5630-AHZIL;Femenino;0;No;Si;3;Si;No;DSL;Si;No;No;Si;No;Si;Mes a mes;Si;TransfBanca (automatica);64.5;177.4;No
2673-CXQEU;Femenino;1;No;No;56;Si;Si;Fibra Optica;Si;Si;Si;No;Si;Si;Un año;No;Cheque electronico;110.5;6139.5;No
6416-JNVRK;Femenino;0;No;No;46;Si;No;DSL;No;No;No;No;No;Si;Un año;No;TarjetaCredito (automatico);55.65;2688.85;No
5590-ZSKRV;Femenino;0;Si;Si;8;Si;No;DSL;Si;Si;No;No;No;No;Mes a mes;No;Cheque fisico;54.65;482.25;No
0191-ZHSKZ;Masculino;1;No;No;30;Si;No;DSL;Si;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;74.75;2111.3;No
3887-PBQAO;Femenino;0;Si;Si;45;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;TarjetaCredito (automatico);25.9;1216.6;No
5919-TMRGD;Femenino;0;No;Si;1;Si;No;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;79.35;79.35;Si
8108-UXRQN;Femenino;0;Si;Si;11;No;No servicio tel;DSL;Si;No;No;No;Si;Si;Mes a mes;No;Cheque electronico;50.55;565.35;No
9191-MYQKX;Femenino;0;Si;No;7;Si;No;Fibra Optica;No;No;Si;No;No;No;Mes a mes;Si;TransfBanca (automatica);75.15;496.9;Si
9919-YLNNG;Femenino;0;No;No;42;Si;No;Fibra Optica;No;Si;Si;Si;Si;Si;Mes a mes;Si;TransfBanca (automatica);103.8;4327.5;No
0318-ZOPWS;Femenino;0;Si;No;49;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TransfBanca (automatica);20.15;973.35;No
4445-ZJNMU;Masculino;0;No;No;9;Si;Si;Fibra Optica;No;Si;No;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);99.3;918.75;No
4808-YNLEU;Femenino;0;Si;No;35;Si;No;DSL;Si;No;No;No;Si;No;Un año;Si;TransfBanca (automatica);62.15;2215.45;No
1862-QRWPE;Femenino;0;Si;Si;48;Si;No;;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);20.65;1057;No
2796-NNUFI;Femenino;0;Si;Si;46;Si;No;;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;Cheque fisico;19.95;927.1;No
3016-KSVCP;Masculino;0;Si;No;29;No;No servicio tel;DSL;No;No;No;No;Si;No;Mes a mes;No;Cheque fisico;33.75;1009.25;No
4767-HZZHQ;Masculino;0;Si;Si;30;Si;No;Fibra Optica;No;Si;Si;No;No;No;Mes a mes;No;TransfBanca (automatica);82.05;2570.2;No
2424-WVHPL;Masculino;1;No;No;1;Si;No;Fibra Optica;No;No;No;Si;No;No;Mes a mes;No;Cheque electronico;74.7;74.7;No
7233-PAHHL;Masculino;0;Si;Si;66;Si;Si;DSL;Si;No;Si;Si;Si;Si;Dos años;Si;Cheque fisico;84;5714.25;No
6067-NGCEU;Femenino;0;No;No;65;Si;Si;Fibra Optica;Si;Si;Si;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);111.05;7107;No
9848-JQJTX;Masculino;0;No;No;72;Si;Si;Fibra Optica;No;Si;Si;No;Si;Si;Dos años;Si;TransfBanca (automatica);100.9;7459.05;No
8637-XJIVR;Femenino;0;No;No;12;Si;Si;Fibra Optica;Si;No;No;No;No;No;Mes a mes;Si;Cheque electronico;78.95;927.35;Si
9803-FTJCG;Masculino;0;Si;Si;71;Si;Si;DSL;Si;Si;No;Si;No;No;Un año;Si;TarjetaCredito (automatico);66.85;4748.7;No
0278-YXOOG;Masculino;0;No;No;5;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;21.05;113.85;Si
3212-KXOCR;Masculino;0;No;No;52;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);21;1107.2;No
4598-XLKNJ;Femenino;1;Si;No;25;Si;No;Fibra Optica;No;Si;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;98.5;2514.5;Si
6380-ARCEH;Masculino;0;No;No;1;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.2;20.2;No
3679-XASPY;Femenino;0;Si;Si;1;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque electronico;19.45;19.45;No
7123-WQUHX;Masculino;0;No;No;38;Si;Si;Fibra Optica;No;No;Si;Si;Si;No;Un año;No;TransfBanca (automatica);95;3605.6;No
5386-THSLQ;Femenino;1;Si;No;66;No;No servicio tel;DSL;No;Si;Si;No;Si;No;Un año;No;TransfBanca (automatica);45.55;3027.25;No
3192-NQECA;Masculino;0;Si;No;68;Si;Si;Fibra Optica;No;Si;Si;Si;Si;Si;Dos años;Si;TransfBanca (automatica);110;7611.85;Si
6180-YBIQI;Masculino;0;No;No;5;No;No servicio tel;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque fisico;24.3;100.2;No
6728-DKUCO;Femenino;0;Si;Si;72;Si;Si;Fibra Optica;Si;Si;No;No;Si;Si;Un año;Si;Cheque electronico;104.15;7303.05;No
9750-BOOHV;Femenino;0;No;No;32;No;No servicio tel;DSL;Si;No;No;No;No;No;Un año;No;Cheque fisico;30.15;927.65;No
8597-CWYHH;Masculino;0;No;No;43;Si;Si;Fibra Optica;No;No;;No;Si;Si;Un año;No;Cheque fisico;94.35;3921.3;No
2848-YXSMW;Masculino;0;Si;Si;72;Si;No;No;No servicio Internet;No servicio Internet;;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);19.4;1363.25;No
0486-HECZI;Masculino;0;Si;No;55;Si;Si;Fibra Optica;Si;Si;No;No;Si;No;Mes a mes;Si;Cheque electronico;96.75;5238.9;Si
4549-ZDQYY;Femenino;0;No;No;52;Si;No;DSL;Si;No;Si;Si;No;No;Un año;No;TarjetaCredito (automatico);57.95;3042.25;No
5712-AHQNN;Femenino;0;No;No;43;Si;No;Fibra Optica;No;Si;Si;No;Si;No;Mes a mes;Si;Cheque electronico;91.65;3954.1;No
4846-WHAFZ;Femenino;1;Si;No;37;Si;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;76.5;2868.15;Si
5256-SKJGO;Femenino;0;Si;Si;64;No;No servicio tel;DSL;No;Si;No;Si;Si;Si;Dos años;Si;Cheque electronico;54.6;3423.5;No
3071-VBYPO;Masculino;0;Si;Si;3;Si;No;Fibra Optica;Si;Si;No;No;Si;No;Mes a mes;No;Cheque electronico;89.85;248.4;No
9560-BBZXK;Femenino;0;No;No;36;No;No servicio tel;DSL;Si;No;No;No;No;No;Dos años;No;TransfBanca (automatica);31.05;1126.35;No
5299-RULOA;Femenino;0;Si;Si;10;Si;Si;Fibra Optica;Si;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;100.25;1064.65;Si
8402-OOOHJ;Femenino;0;No;No;41;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;20.65;835.15;No
9445-ZUEQE;Masculino;0;Si;Si;27;Si;Si;Fibra Optica;No;Si;No;Si;No;No;Mes a mes;Si;TarjetaCredito (automatico);85.2;2151.6;No
1091-SOZGA;Femenino;0;Si;Si;56;Si;Si;Fibra Optica;No;No;Si;No;Si;Si;Un año;Si;TarjetaCredito (automatico);99.8;5515.45;No
2928-HLDBA;Femenino;0;No;No;6;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.7;112.75;No
0404-SWRVG;Masculino;0;No;No;3;Si;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;74.4;229.55;Si
6497-TILVL;Femenino;0;Si;Si;7;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque fisico;50.7;350.35;No
7219-TLZHO;Femenino;0;Si;Si;4;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.85;62.9;No
4622-YNKIJ;Masculino;0;No;No;33;Si;No;Fibra Optica;Si;No;No;Si;Si;No;Dos años;Si;Cheque electronico;88.95;3027.65;No
4412-YLTKF;Femenino;1;No;No;27;Si;Si;Fibra Optica;No;No;Si;No;No;No;Mes a mes;Si;Cheque electronico;78.05;2135.5;Si
6734-PSBAW;Masculino;0;Si;No;72;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TransfBanca (automatica);23.55;1723.95;No
3930-ZGWVE;Masculino;0;No;No;1;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;19.75;19.75;No
2639-UGMAZ;Masculino;1;No;No;71;No;No servicio tel;DSL;Si;Si;No;No;Si;Si;Un año;Si;Cheque electronico;56.45;3985.35;No
2876-GZYZC;Femenino;0;No;No;13;Si;Si;Fibra Optica;No;No;;No;No;Si;Mes a mes;Si;Cheque electronico;85.95;1215.65;No
6207-WIOLX;Femenino;0;Si;Si;25;No;No servicio tel;DSL;Si;Si;;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);58.6;1502.65;Si
8587-XYZSF;Masculino;0;No;No;67;Si;No;DSL;No;No;No;Si;No;No;Dos años;No;TransfBanca (automatica);50.55;3260.1;No
3091-FYHKI;Masculino;0;No;No;1;No;No servicio tel;DSL;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;35.45;35.45;Si
2372-HWUHI;Masculino;0;No;No;2;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;44.35;81.25;Si
7799-LGRDP;Femenino;0;No;No;43;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TarjetaCredito (automatico);25.7;1188.2;No
7850-VWJUU;Femenino;0;No;No;23;Si;No;Fibra Optica;Si;No;No;No;No;No;Mes a mes;Si;TransfBanca (automatica);75;1778.5;No
3774-VBNXY;Femenino;0;Si;Si;64;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;20.2;1277.75;No
6217-KDYWC;Masculino;0;No;Si;57;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;Cheque fisico;19.6;1170.55;No
0390-DCFDQ;Femenino;1;Si;No;1;Si;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque fisico;70.45;70.45;Si
3146-MSEGF;Femenino;1;Si;Si;72;Si;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);88.05;6425.65;No
4080-OGPJL;Femenino;0;No;No;8;Si;Si;DSL;Si;No;No;Si;No;Si;Mes a mes;No;Cheque electronico;71.15;563.65;Si
1095-WGNGG;Femenino;0;Si;No;61;Si;Si;Fibra Optica;No;Si;No;No;Si;Si;Dos años;Si;TransfBanca (automatica);101.05;5971.25;No
2636-SJDOU;Masculino;0;No;No;64;Si;Si;Fibra Optica;Si;Si;No;No;No;No;Un año;Si;TarjetaCredito (automatico);84.3;5289.05;No
1131-QQZEB;Masculino;1;Si;No;71;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);23.95;1756.2;No
5716-EZXZN;Femenino;0;Si;Si;65;Si;Si;Fibra Optica;Si;Si;No;Si;Si;No;Dos años;Si;TarjetaCredito (automatico);99.05;6416.7;No
6837-BJYDQ;Masculino;0;No;No;3;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;19.6;61.35;No
2135-RXIHG;Masculino;0;No;No;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;45.65;45.65;Si
6440-DKQGE;Masculino;0;No;Si;30;Si;No;DSL;No;Si;Si;No;Si;No;Un año;No;TarjetaCredito (automatico);64.5;1929.95;No
3466-BYAVD;Masculino;0;Si;Si;15;Si;No;DSL;No;Si;Si;Si;No;Si;Mes a mes;Si;Cheque fisico;69.5;1071.4;No
3780-YVMFA;Femenino;0;Si;Si;8;Si;No;DSL;No;No;No;Si;Si;Si;Mes a mes;Si;Cheque electronico;68.55;564.35;No
3874-EQOEP;Masculino;0;No;No;7;Si;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;No;Cheque fisico;95;655.5;Si
1679-JRFBR;Femenino;0;Si;Si;70;Si;Si;Fibra Optica;Si;Si;Si;No;Si;Si;Un año;Si;TarjetaCredito (automatico);108.15;7930.55;No
9073-ZZIAY;Masculino;0;Si;Si;62;Si;No;DSL;Si;Si;Si;Si;Si;Si;Dos años;No;Cheque electronico;86.1;5215.25;No
3077-RSNTJ;Femenino;0;Si;Si;6;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;19.7;113.5;No
6551-GNYDG;Femenino;0;Si;Si;14;Si;No;Fibra Optica;No;No;No;No;No;Si;Mes a mes;Si;TransfBanca (automatica);80.9;1152.8;No
9167-APMXZ;Femenino;0;No;No;22;Si;Si;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;TransfBanca (automatica);84.15;1821.95;No
2749-CTKAJ;Masculino;0;Si;Si;22;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;20.15;419.9;No
6371-NZYEG;Masculino;0;Si;Si;16;Si;No;DSL;Si;No;Si;No;Si;No;Dos años;No;Cheque fisico;64.25;1024;No
7554-NEWDD;Masculino;0;No;No;10;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);25.7;251.6;No
8992-VONJD;Femenino;0;No;Si;13;Si;No;DSL;Si;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;56;764.55;No
0867-MKZVY;Femenino;0;Si;No;20;Si;Si;Fibra Optica;Si;No;No;No;No;No;Mes a mes;No;Cheque electronico;82.4;1592.35;Si
4482-EWFMI;Femenino;0;No;No;2;Si;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;69.7;135.2;No
