"","ID","Edad","Educacion","Años_empleo","Ingreso","Deuda.tarjeta","otra.deuda","Direccion"
"133",133,31,2,6,25,2.332,0.543,"NBA005"
"134",134,32,3,5,23,0.326,0.709,"NBA009"
"135",135,29,1,9,25,1.07,2.405,"NBA000"
"136",136,35,4,4,29,1.844,1.346,"NBA016"
"137",137,48,2,21,86,0.146,0.886,"NBA014"
"138",138,24,1,4,19,1.185,0.905,"NBA000"
"139",139,44,1,12,31,0.358,2.649,"NBA003"
"140",140,40,2,5,35,1.584,4.156,"NBA012"
"141",141,36,2,13,41,2.918,3.806,"NBA006"
"142",142,23,2,0,21,0.455,1.372,"NBA004"
"143",143,26,2,8,40,0.444,4.276,"NBA001"
"144",144,30,1,8,23,0.762,1.998,"NBA006"
"145",145,34,1,12,68,7.817,9.251,"NBA005"
"146",146,28,3,2,30,1.522,4.448,"NBA005"
"147",147,37,1,18,58,2.868,3.106,"NBA009"
"148",148,46,3,3,43,3.042,2.634,"NBA013"
"149",149,24,2,1,42,0.838,1.556,"NBA002"
"150",150,25,2,6,26,0.07,1.1,"NBA002"
"151",151,33,1,14,37,0.199,0.763,"NBA002"
"152",152,46,1,7,41,0.585,9.009,"NBA006"
"153",153,38,3,4,31,1.332,1.551,"NBA006"
"154",154,47,1,3,21,0.068,3.166,"NBA001"
"155",155,34,2,9,65,2.108,1.922,"NBA009"
"156",156,35,1,16,37,4.213,2.151,"NBA000"
"157",157,39,1,22,113,0.987,1.951,"NBA009"
"158",158,44,1,24,101,2.992,2.664,"NBA010"
"159",159,28,2,1,24,1.338,2.766,"NBA008"
"160",160,31,3,9,59,3.11,5.504,"NBA007"
"161",161,24,1,1,20,0.325,0.495,"NBA000"
"162",162,36,3,13,39,2.801,4.687,"NBA003"
"163",163,35,2,14,82,0.468,0.188,"NBA003"
"164",164,31,1,11,47,2.864,2.259,"NBA012"
"165",165,28,2,6,22,0.65,1.88,"NBA009"
"166",166,36,4,8,32,0.025,0.487,"NBA000"
"167",167,31,3,6,54,0.402,1.11,"NBA008"
"168",168,30,1,11,27,0.074,0.169,"NBA009"
"169",169,26,1,10,24,0.311,0.337,"NBA006"
"170",170,48,4,3,45,0.975,3.435,"NBA023"
"171",171,39,2,16,89,5.002,7.725,"NBA009"
"172",172,31,1,7,20,0.111,2.349,"NBA002"
"173",173,31,3,9,28,0.122,0.606,"NBA002"
"174",174,27,3,3,45,0.292,4.658,"NBA004"
"175",175,31,1,13,27,0.238,1.112,"NBA012"
"176",176,53,1,0,27,2.754,5.049,"NBA026"
"177",177,40,1,15,55,0.856,2.169,"NBA014"
"178",178,26,1,7,22,0.209,0.913,"NBA003"
"179",179,29,2,5,36,3.491,0.973,"NBA004"
"180",180,52,1,19,89,0.397,3.786,"NBA025"
"181",181,39,2,2,46,4.004,3.356,"NBA012"
"182",182,33,2,13,40,0.181,2.699,"NBA002"
"183",183,24,1,7,21,0.52,0.803,"NBA002"
"184",184,47,1,29,129,20.561,12.076,"NBA018"
"185",185,41,3,2,15,1.961,1.984,"NBA000"
"186",186,26,2,6,45,6.049,5.651,"NBA007"
"187",187,48,1,3,24,0.764,0.916,"NBA007"
"188",188,37,1,13,24,0.602,1.534,"NBA005"
"189",189,37,1,20,41,0.899,4.39,"NBA013"
"190",190,46,4,7,73,0.556,0.247,"NBA016"
"191",191,30,1,8,27,3.744,1.737,"NBA011"
"192",192,47,1,15,30,2.212,5.138,"NBA001"
"193",193,37,3,16,75,0.022,0.053,"NBA008"
"194",194,37,2,0,31,0.118,0.161,"NBA013"
"195",195,40,2,15,73,1.033,1.449,"NBA016"
"196",196,35,3,5,30,1.526,1.654,"NBA013"
"197",197,21,2,0,16,0.15,0.938,"NBA001"
"198",198,52,1,24,64,3.93,2.47,"NBA014"
"199",199,47,3,16,221,15.792,23.104,"NBA026"
"200",200,41,3,0,26,0.099,0.343,"NBA021"
"201",201,47,1,27,113,2.381,8.015,"NBA008"
"202",202,38,2,0,21,0.612,0.354,"NBA018"
"203",203,22,3,1,25,1.977,1.473,"NBA003"
"204",204,39,1,8,21,0.276,0.564,"NBA000"
"205",205,45,1,8,27,0.416,0.286,"NBA025"
"206",206,51,1,10,44,4.96,0.848,"NBA001"
"207",207,33,2,10,26,0.031,0.775,"NBA004"
"208",208,43,1,25,242,1.636,4.656,"NBA016"
"209",209,40,1,22,95,0.633,2.787,"NBA004"
"210",210,27,4,2,23,0.32,0.991,"NBA008"
"211",211,31,1,11,25,0.141,2.134,"NBA008"
"212",212,34,1,10,48,0.264,2.184,"NBA012"
"213",213,37,1,9,57,1.357,1.778,"NBA008"
"214",214,44,4,18,78,0.565,0.215,"NBA023"
"215",215,42,1,3,24,0.667,1.877,"NBA010"
"216",216,25,1,3,16,1.011,1.837,"NBA002"
"217",217,39,2,7,68,1.017,7.823,"NBA002"
"218",218,26,4,1,64,7.754,7.158,"NBA006"
"219",219,36,1,19,45,0.92,4.525,"NBA008"
"220",220,48,1,15,60,0.321,0.939,"NBA005"
"221",221,21,2,0,21,0.488,2.137,"NBA002"
"222",222,40,3,17,116,2.561,4.399,"NBA011"
"223",223,31,2,9,30,0.602,1.138,"NBA001"
"224",224,23,4,0,23,0.468,1.073,"NBA002"
"225",225,31,1,6,21,0.729,1.014,"NBA009"
"226",226,31,1,7,23,0.225,0.902,"NBA010"
"227",227,50,3,18,102,5.782,8.6,"NBA027"
"228",228,29,1,1,31,0.156,2.324,"NBA008"
"229",229,37,3,5,29,1.405,5.729,"NBA017"
"230",230,46,1,16,52,3.032,3.676,"NBA018"
"231",231,39,1,9,35,0.233,1.517,"NBA006"
"232",232,34,1,14,28,1.138,3.622,"NBA008"
"233",233,27,1,11,56,4.637,4.827,"NBA008"
"234",234,23,1,6,15,1.375,0.53,"NBA002"
"235",235,41,1,24,83,6.589,5.031,"NBA012"
"236",236,29,1,1,18,0.03,0.168,"NBA001"
"237",237,44,1,19,40,0.344,4.016,"NBA009"
"238",238,24,2,0,15,0.321,2.094,"NBA002"
"239",239,32,3,9,51,2.686,9.044,"NBA010"
"240",240,23,2,3,34,0.262,1.234,"NBA004"
"241",241,31,1,4,28,0.291,2.873,"NBA010"
"242",242,36,1,15,39,0.686,0.562,"NBA010"
"243",243,25,1,3,31,0.881,1.63,"NBA005"
"244",244,26,1,10,32,0.126,1.378,"NBA002"
"245",245,43,1,4,26,0.751,1.095,"NBA011"
"246",246,47,1,29,169,0.349,3.369,"NBA020"
"247",247,43,1,10,69,0.411,4.005,"NBA009"
"248",248,37,1,18,54,4.593,1.941,"NBA008"
"249",249,35,4,10,45,1.04,2.785,"NBA012"
"250",250,28,4,1,26,0.377,2.847,"NBA003"
"251",251,28,1,8,30,0.613,1.547,"NBA006"
"252",252,26,3,2,37,0.205,5.049,"NBA001"
"253",253,39,1,10,31,0.185,1.303,"NBA004"
"254",254,34,2,3,21,1.402,3.449,"NBA008"
"255",255,51,3,16,82,2.605,1.003,"NBA025"
"256",256,28,2,3,41,5.897,4.394,"NBA004"
"257",257,39,1,20,39,0.774,2.424,"NBA012"
"258",258,23,1,3,19,0.279,1.317,"NBA000"
"259",259,23,1,3,13,0.046,0.357,"NBA004"
"260",260,21,1,4,26,1.421,0.893,"NBA000"
"261",261,40,1,3,23,0.409,1.178,"NBA013"
"262",262,26,4,1,92,6.506,5.454,"NBA005"
"263",263,32,2,12,54,3.196,4.58,"NBA001"
"264",264,29,3,3,50,0.259,0.941,"NBA003"
"265",265,43,1,25,64,0.951,9.737,"NBA021"
"266",266,55,1,3,40,0.563,2.637,"NBA011"
"267",267,30,1,12,40,1.249,1.551,"NBA004"
"268",268,38,3,15,63,5.091,3.351,"NBA018"
"269",269,40,1,2,28,0.185,1.803,"NBA003"
"270",270,43,1,12,38,0.129,1.239,"NBA011"
"271",271,35,2,1,24,0.591,2.409,"NBA008"
"272",272,24,1,8,24,0.382,0.818,"NBA004"
"273",273,35,1,11,40,0.572,0.588,"NBA009"
"274",274,39,2,18,47,1.565,2.007,"NBA018"
"275",275,41,2,5,25,0.393,2.157,"NBA005"
"276",276,28,1,2,17,0.199,0.226,"NBA002"
"277",277,24,2,2,28,1.787,3.057,"NBA000"
"278",278,40,3,3,55,1.751,7.324,"NBA015"
"279",279,29,1,8,27,0.402,2.244,"NBA006"
"280",280,26,2,4,28,0.226,2.434,"NBA003"
"281",281,27,1,5,26,0.13,0.182,"NBA005"
"282",282,50,1,30,150,13.553,35.197,"NBA008"
"283",283,41,1,15,120,2.659,0.821,"NBA014"
"284",284,26,1,0,14,0.256,1.214,"NBA000"
"285",285,48,1,22,100,3.704,5.396,"NBA015"
"286",286,35,2,1,24,0.417,1.455,"NBA011"
"287",287,35,1,15,77,5.501,2.661,"NBA001"
"288",288,23,1,7,31,0.338,1.708,"NBA002"
"289",289,39,2,20,101,0.341,1.073,"NBA017"
"290",290,38,1,21,58,4.584,4.986,"NBA016"
"291",291,30,1,4,33,0.5,0.886,"NBA000"
"292",292,44,2,8,43,0.555,1.595,"NBA018"
"293",293,33,1,0,23,0.077,0.13,"NBA012"
"294",294,34,1,15,39,4.373,5.26,"NBA002"
"295",295,27,2,6,34,0.238,1.258,"NBA001"
"296",296,30,1,1,22,1.139,1.171,"NBA010"
"297",297,27,2,1,20,0.377,1.683,"NBA000"
"298",298,29,1,9,30,0.155,2.305,"NBA008"
"299",299,25,4,1,34,0.133,2.757,"NBA001"
"300",300,41,1,23,91,0.573,11.894,"NBA002"
"301",301,42,2,11,73,2.869,2.095,"NBA005"
"302",302,38,3,12,64,0.895,2.817,"NBA018"
"303",303,23,1,5,17,0.302,1.041,"NBA002"
"304",304,33,1,2,24,1.041,1.263,"NBA010"
"305",305,31,1,2,22,1.739,1.869,"NBA002"
"306",306,37,2,6,62,1.186,4.084,"NBA013"
"307",307,40,1,10,45,2.013,6.447,"NBA015"
"308",308,31,1,3,16,3.065,2.103,"NBA005"
"309",309,35,2,3,40,1.803,5.077,"NBA011"
"310",310,38,1,6,41,0.266,3.383,"NBA000"
"311",311,30,2,8,56,0.333,3.251,"NBA004"
"312",312,30,1,1,17,0.746,1.124,"NBA008"
"313",313,44,1,2,22,1.092,1.02,"NBA015"
"314",314,29,2,3,15,0.147,0.243,"NBA008"
"315",315,39,1,19,45,0.916,0.749,"NBA016"
"316",316,26,1,0,17,0.142,0.708,"NBA005"
"317",317,36,1,5,27,0.724,1.166,"NBA002"
"318",318,31,2,0,27,1.089,2.367,"NBA004"
"319",319,38,2,12,40,0.898,1.142,"NBA014"
"320",320,38,1,0,23,0.898,0.965,"NBA008"
"321",321,41,3,13,91,2.316,20.616,"NBA013"
"322",322,41,2,2,30,0.113,1.897,"NBA022"
"323",323,45,3,5,94,3.612,6.258,"NBA017"
"324",324,24,1,4,23,0.242,0.885,"NBA001"
"325",325,22,1,4,16,0.084,0.108,"NBA001"
"326",326,34,1,13,56,0.864,2.552,"NBA008"
"327",327,25,1,0,18,0.514,2.888,"NBA002"
"328",328,29,2,6,18,0.45,0.468,"NBA007"
"329",329,35,2,13,105,1.418,0.577,"NBA003"
"330",330,39,1,19,48,1.93,4.358,"NBA005"
"331",331,34,1,17,59,1.808,2.912,"NBA003"
"332",332,44,2,21,113,3.192,11.724,"NBA014"
"333",333,23,2,0,21,0.776,1.618,"NBA002"
"334",334,46,1,6,31,1.986,1.796,"NBA019"
"335",335,41,4,9,47,0.437,1.913,"NBA013"
"336",336,52,1,9,24,0.802,3.806,"NBA011"
"337",337,23,1,1,17,0.012,0.26,"NBA000"
"338",338,48,1,28,70,4.334,4.066,"NBA025"
"339",339,35,1,10,24,1.084,4.028,"NBA003"
"340",340,53,2,16,44,1.333,1.131,"NBA031"
"341",341,39,3,11,39,2.561,2.47,"NBA017"
"342",342,37,1,20,56,0.543,0.521,"NBA002"
"343",343,34,1,12,32,0.239,0.625,"NBA015"
"344",344,49,2,2,20,0.379,3.001,"NBA013"
"345",345,39,1,23,75,3.133,11.042,"NBA001"
"346",346,42,2,7,41,0.941,0.945,"NBA023"
"347",347,28,2,1,16,0.574,1.778,"NBA004"
"348",348,27,3,5,75,2.207,2.518,"NBA001"
"349",349,24,1,2,21,0.025,0.101,"NBA001"
"350",350,34,1,5,33,0.778,1.631,"NBA003"
"351",351,47,1,31,136,14.231,17.185,"NBA009"
"352",352,26,4,1,27,0.312,0.471,"NBA007"
"353",353,35,1,17,42,0.093,1.167,"NBA004"
"354",354,31,1,6,33,0.146,1.24,"NBA012"
"355",355,29,1,13,27,0.069,0.552,"NBA007"
"356",356,44,1,9,33,0.546,1.17,"NBA020"
"357",357,40,2,13,102,6.227,13.051,"NBA011"
"358",358,36,4,1,30,0.324,3.126,"NBA017"
"359",359,32,3,6,22,0.385,1.089,"NBA012"
"360",360,21,1,1,18,0.159,2.955,"NBA001"
"361",361,42,4,15,186,2.404,4.292,"NBA008"
"362",362,37,2,4,20,0.174,4.166,"NBA011"
"363",363,24,1,6,21,0.108,0.984,"NBA002"
"364",364,24,4,0,29,0.59,1.324,"NBA003"
"365",365,46,3,4,73,2.223,1.719,"NBA017"
"366",366,28,1,2,16,0.871,1.561,"NBA009"
"367",367,41,1,16,68,0.448,3.224,"NBA017"
"368",368,46,5,15,126,0.477,3.429,"NBA000"
"369",369,51,2,22,120,4.14,4.98,"NBA023"
"370",370,36,1,17,54,0.727,1.649,"NBA006"
"371",371,25,1,1,20,0.472,0.868,"NBA000"
"372",372,27,2,3,33,1.633,2.723,"NBA005"
"373",373,43,1,23,72,1.182,4.29,"NBA019"
"374",374,53,1,6,27,0.594,1.134,"NBA007"
"375",375,32,1,4,16,0.894,3.666,"NBA003"
"376",376,36,1,0,25,2.778,2.147,"NBA013"
"377",377,29,2,9,30,3.646,2.864,"NBA008"
"378",378,35,1,18,42,0.205,2.903,"NBA002"
"379",379,32,2,0,18,0.296,0.748,"NBA006"
"380",380,25,2,1,14,0.233,1.153,"NBA003"
"381",381,42,1,2,30,1.472,1.438,"NBA016"
"382",382,25,1,9,20,0.105,0.595,"NBA002"
"383",383,20,3,0,17,0.044,0.347,"NBA001"
"384",384,50,1,4,23,0.141,2.734,"NBA004"
"385",385,46,2,22,144,3.325,12.659,"NBA017"
"386",386,33,1,15,32,0.491,1.941,"NBA003"
"387",387,43,1,19,79,0.782,5.143,"NBA011"
"388",388,30,2,4,21,0.492,3.351,"NBA004"
"389",389,34,1,3,36,0.624,1.068,"NBA014"
"390",390,37,1,3,25,0.276,0.649,"NBA003"
"391",391,38,1,4,19,1.245,1.339,"NBA009"
"392",392,32,2,11,57,5.44,8.126,"NBA004"
"393",393,39,1,15,39,0.14,0.562,"NBA016"
"394",394,31,1,7,41,2.996,9.591,"NBA011"
"395",395,25,1,5,22,0.403,1.995,"NBA005"
"396",396,31,2,12,44,1.867,2.357,"NBA008"
"397",397,29,2,0,23,1.242,0.598,"NBA007"
"398",398,45,2,21,132,2.558,1.402,"NBA026"
"399",399,39,1,4,38,1.178,1.292,"NBA009"
"400",400,34,1,4,23,0.617,0.671,"NBA006"
"401",401,24,2,3,24,2.173,2.411,"NBA001"
"402",402,30,1,10,19,0.336,0.5,"NBA002"
"403",403,30,1,0,19,0.624,2.53,"NBA008"
"404",404,27,1,0,18,0.583,1.721,"NBA007"
"405",405,31,1,5,25,1.177,2.348,"NBA003"
"406",406,47,3,9,52,2.54,7.912,"NBA001"
"407",407,47,2,4,33,1.195,1.148,"NBA009"
"408",408,45,2,15,51,1.551,7.68,"NBA014"
"409",409,31,4,7,97,1.827,3.993,"NBA012"
"410",410,45,1,7,29,0.739,1.03,"NBA017"
"411",411,29,1,12,40,1.632,1.048,"NBA002"
"412",412,36,2,12,60,1.721,3.019,"NBA013"
"413",413,29,2,10,44,3.703,4.261,"NBA008"
"414",414,39,1,2,22,1.916,3.166,"NBA015"
"415",415,22,2,0,35,0.781,2.369,"NBA001"
"416",416,46,1,14,35,1.349,2.221,"NBA025"
"417",417,38,1,21,65,2.533,8.387,"NBA017"
"418",418,37,1,1,24,1.801,1.823,"NBA003"
"419",419,42,1,12,51,2.412,8.502,"NBA011"
"420",420,36,1,4,25,0.144,0.856,"NBA017"
"421",421,34,1,18,53,0.84,4.725,"NBA010"
"422",422,38,3,12,63,5.715,4.365,"NBA014"
"423",423,27,1,11,21,0.915,1.479,"NBA001"
"424",424,35,2,9,30,0.65,1.63,"NBA016"
"425",425,48,1,10,70,10.679,9.061,"NBA000"
"426",426,45,2,18,35,0.548,5.542,"NBA019"
"427",427,43,1,4,29,0.053,1.281,"NBA002"
"428",428,54,1,9,28,1.558,2.586,"NBA002"
"429",429,35,3,7,38,1.383,4.355,"NBA005"
"430",430,28,1,4,19,0.287,0.492,"NBA007"
"431",431,39,1,16,52,4.16,6.24,"NBA004"
"432",432,43,1,8,32,1.234,4.846,"NBA000"
"433",433,32,2,2,15,0.119,1.246,"NBA011"
"434",434,22,3,0,18,0.478,0.908,"NBA001"
"435",435,41,3,18,71,6.566,4.581,"NBA006"
"436",436,34,2,4,25,0.57,0.88,"NBA010"
"437",437,34,2,9,27,0.295,0.164,"NBA007"
"438",438,31,1,1,24,0.217,0.863,"NBA001"
"439",439,55,1,19,78,4.405,7.763,"NBA002"
"440",440,40,1,21,46,0.967,1.885,"NBA021"
"441",441,41,1,13,44,0.071,0.677,"NBA010"
"442",442,43,2,10,37,0.676,2.469,"NBA024"
"443",443,36,1,6,26,0.03,2.128,"NBA009"
"444",444,51,2,31,249,4.273,15.149,"NBA014"
"445",445,40,1,17,55,2.126,4.144,"NBA005"
"446",446,27,3,5,42,2.708,5.65,"NBA004"
"447",447,36,2,11,49,0.273,0.364,"NBA008"
"448",448,38,1,5,54,1.5,4.224,"NBA005"
"449",449,47,1,17,43,0.588,1.82,"NBA021"
"450",450,33,1,13,42,0.228,1.284,"NBA013"
"451",451,41,3,12,86,4.991,17.799,"NBA011"
"452",452,33,1,9,29,1.349,2.653,"NBA004"
"453",453,21,3,0,26,1.53,0.472,"NBA001"
"454",454,34,1,0,21,0.187,1.325,"NBA001"
"455",455,51,2,27,166,0.821,18.269,"NBA021"
"456",456,36,2,0,30,0.329,2.581,"NBA017"
"457",457,23,2,0,17,2.044,2.665,"NBA001"
"458",458,34,1,4,28,1.058,1.574,"NBA003"
"459",459,29,1,7,22,0.551,1.583,"NBA009"
"460",460,46,3,9,60,1.607,7.574,"NBA010"
"461",461,45,3,2,39,0.459,1.452,"NBA005"
"462",462,41,3,17,176,11.359,5.009,"NBA012"
"463",463,28,1,4,16,1.085,2.723,"NBA001"
"464",464,37,1,6,29,1.716,3.011,"NBA009"
"465",465,25,1,8,35,0.077,0.938,"NBA001"
"466",466,48,3,0,19,0.85,1.202,"NBA027"
"467",467,37,3,12,83,0.32,3.083,"NBA008"
"468",468,32,1,3,23,0.053,1.373,"NBA010"
"469",469,31,1,15,60,0.804,2.076,"NBA002"
"470",470,48,4,14,59,4.936,4.799,"NBA010"
"471",471,45,1,22,91,1.256,9.391,"NBA024"
"472",472,41,2,6,36,1.486,3.518,"NBA007"
"473",473,39,1,19,46,2.516,1.67,"NBA008"
"474",474,41,1,19,96,2.254,5.234,"NBA001"
"475",475,50,2,15,60,0.468,0.192,"NBA031"
"476",476,22,3,0,23,0.373,1.559,"NBA000"
"477",477,43,2,6,54,0.622,4.562,"NBA024"
"478",478,33,1,8,27,0.777,0.789,"NBA007"
"479",479,29,1,11,32,0.927,0.993,"NBA007"
"480",480,24,1,3,21,2.682,3.387,"NBA003"
"481",481,27,1,6,52,1.902,5.274,"NBA002"
"482",482,37,4,1,33,2.694,2.619,"NBA014"
"483",483,34,2,8,78,2.157,2.055,"NBA006"
"484",484,22,1,1,17,0.806,2.356,"NBA003"
"485",485,41,1,4,25,1.06,1.464,"NBA019"
"486",486,32,2,7,32,0.433,0.943,"NBA010"
"487",487,35,1,15,40,1.214,6.186,"NBA011"
"488",488,41,1,24,100,5.06,6.44,"NBA015"
"489",489,21,2,1,16,0.242,2.638,"NBA002"
"490",490,23,1,2,25,0.124,1.001,"NBA001"
"491",491,25,1,6,22,2.262,2.182,"NBA006"
"492",492,40,1,12,89,2.772,12.714,"NBA006"
"493",493,38,1,11,35,1.266,1.534,"NBA013"
"494",494,49,2,14,63,0.936,9.018,"NBA026"
"495",495,40,1,13,28,0.965,0.687,"NBA002"
"496",496,29,2,1,25,0.569,2.031,"NBA007"
