edad ;trabajo;estado civil;nivel educación;Credito_default;balance_anual;Prestamo_vivienda;Prestamo_personal;contacto;contacto_diaU;Contacto_mesU;Duración_contactoU;Nro_contactosCampaña;Veces_contatado;y
23;obrero;Casado;Secundaria;Si;94;Si;no;Desconocido;5;may;193;1;0;Si
32;técnico;Soltero;Secundaria;Si;0;Si;no;Desconocido;5;may;136;1;0;Si
43;servicios;Soltero;Secundaria;Si;0;no;no;Desconocido;5;may;73;1;0;Si
32;obrero;Casado;Secundaria;Si;517;Si;no;Desconocido;5;may;528;1;0;Si
46;obrero;Casado;Secundaria;Si;265;Si;no;Desconocido;5;may;541;1;0;Si
53;Empleada Hogar;divorciado;Secundaria;Si;947;Si;no;Desconocido;5;may;163;1;0;Si
34;Independiente;Soltero;Secundaria;Si;3;Si;no;Desconocido;5;may;301;1;0;Si
57;desempleado;Casado;Secundaria;Si;42;no;no;Desconocido;5;may;46;1;0;Si
37;obrero;Casado;Secundaria;Si;37;Si;no;Desconocido;5;may;204;1;0;Si
59;obrero;Casado;Secundaria;Si;57;Si;no;Desconocido;5;may;98;1;0;Si
33;servicios;Casado;Secundaria;Si;22;Si;no;Desconocido;5;may;71;1;0;Si
56;obrero;divorciado;Secundaria;Si;8;Si;no;Desconocido;5;may;157;2;0;Si
48;desempleado;Casado;Secundaria;Si;293;Si;no;Desconocido;5;may;243;1;0;Si
43;servicios;Casado;Secundaria;Si;3;Si;no;Desconocido;5;may;186;2;0;Si
54;obrero;Casado;Secundaria;Si;348;Si;no;Desconocido;5;may;579;2;0;Si
51;obrero;Casado;Secundaria;Si;-19;Si;no;Desconocido;5;may;163;2;0;Si
26;estudiante;Soltero;Secundaria;Si;0;Si;no;Desconocido;5;may;610;2;0;Si
40;Administrador;Casado;Secundaria;Si;-4;Si;no;Desconocido;5;may;2033;1;0;Si
39;Administrador;Casado;Secundaria;Si;18;Si;no;Desconocido;5;may;85;1;0;Si
50;técnico;Casado;Secundaria;Si;139;no;no;Desconocido;5;may;114;2;0;Si
41;servicios;Casado;Secundaria;Si;0;Si;no;Desconocido;5;may;114;2;0;Si
51;obrero;Casado;Secundaria;Si;1883;Si;no;Desconocido;5;may;57;1;0;Si
60;Jubilado;divorciado;Secundaria;Si;216;Si;no;Desconocido;5;may;238;1;0;Si
52;obrero;Casado;Secundaria;Si;782;Si;no;Desconocido;5;may;93;3;0;Si
48;obrero;Casado;Secundaria;Si;904;Si;no;Desconocido;5;may;128;2;0;Si
48;servicios;Casado;Secundaria;Si;1705;Si;no;Desconocido;5;may;107;1;0;Si
39;técnico;Soltero;Secundaria;Si;47;Si;no;Desconocido;5;may;181;1;0;Si
47;servicios;Soltero;Secundaria;Si;176;Si;no;Desconocido;5;may;303;2;0;Si
40;obrero;Casado;Secundaria;Si;1225;Si;no;Desconocido;5;may;558;5;0;Si
45;técnico;Casado;Secundaria;Si;86;Si;no;Desconocido;5;may;270;1;0;Si
26;admin.;Soltero;Secundaria;Si;82;Si;no;Desconocido;5;may;228;1;0;Si
52;Administrador;Casado;Secundaria;Si;271;Si;no;Desconocido;5;may;99;1;0;Si
54;técnico;Casado;Secundaria;Si;1378;Si;no;Desconocido;5;may;240;1;0;Si
54;admin.;Casado;Secundaria;Si;184;no;no;Desconocido;5;may;673;2;0;Si
50;obrero;Casado;Secundaria;Si;0;no;no;Desconocido;5;may;233;3;0;Si
35;obrero;Casado;Secundaria;Si;0;Si;no;Desconocido;5;may;1056;1;0;Si
44;servicios;Casado;Secundaria;Si;1357;Si;Si;Desconocido;5;may;250;1;0;Si
53;empresario;Casado;Secundaria;Si;19;Si;no;Desconocido;5;may;252;1;0;Si
35;Jubilado;Soltero;Secundaria;Si;434;no;no;Desconocido;5;may;138;1;0;Si
60;admin.;divorciado;Secundaria;Si;92;Si;no;Desconocido;5;may;130;1;0;Si
53;admin.;divorciado;Secundaria;Si;1151;Si;no;Desconocido;5;may;412;1;0;Si
48;desempleado;Casado;Secundaria;Si;41;Si;no;Desconocido;5;may;179;2;0;Si
34;técnico;Casado;Secundaria;Si;51;Si;no;Desconocido;5;may;19;2;0;Si
54;servicios;Casado;Secundaria;Si;214;Si;no;Desconocido;5;may;458;2;0;Si
51;Administrador;Casado;Secundaria;Si;1161;Si;no;Desconocido;5;may;717;1;0;Si
31;servicios;Casado;Secundaria;Si;37;Si;no;Desconocido;5;may;313;1;0;Si
35;técnico;divorciado;Secundaria;Si;787;Si;no;Desconocido;5;may;683;2;0;Si
35;servicios;Casado;Secundaria;Si;59;Si;no;Desconocido;5;may;1077;1;0;Si
38;técnico;Casado;Secundaria;Si;253;Si;no;Desconocido;5;may;416;1;0;Si
36;admin.;Casado;Secundaria;Si;211;Si;no;Desconocido;5;may;146;2;0;Si
58;Jubilado;Casado;Secundaria;Si;235;Si;no;Desconocido;5;may;167;1;0;Si
40;servicios;divorciado;Secundaria;Si;4384;Si;no;Desconocido;5;may;315;1;0;Si
54;Administrador;Casado;Secundaria;Si;4080;no;no;Desconocido;5;may;140;1;0;Si
34;obrero;Soltero;Secundaria;Si;53;Si;Si;Desconocido;5;may;346;1;0;Si
31;Administrador;Soltero;Secundaria;Si;0;Si;no;Desconocido;5;may;562;1;0;Si
51;Jubilado;Casado;Secundaria;Si;2127;Si;no;Desconocido;5;may;172;1;0;Si
33;Administrador;Casado;Secundaria;Si;377;Si;no;Desconocido;5;may;217;1;0;Si
55;Administrador;Casado;Secundaria;Si;73;Si;no;Desconocido;5;may;142;2;0;Si
42;admin.;Casado;Secundaria;Si;445;Si;no;Desconocido;5;may;67;1;0;Si
34;obrero;Casado;Secundaria;Si;243;Si;no;Desconocido;5;may;291;1;0;Si
33;obrero;Soltero;Secundaria;Si;307;Si;no;Desconocido;5;may;309;2;0;Si
38;servicios;Casado;Secundaria;Si;155;Si;no;Desconocido;5;may;248;1;0;Si
50;técnico;divorciado;Secundaria;Si;173;no;Si;Desconocido;5;may;98;1;0;Si
43;Administrador;Casado;Secundaria;Si;400;Si;no;Desconocido;5;may;256;1;0;Si
61;obrero;divorciado;Secundaria;Si;1428;Si;no;Desconocido;5;may;82;2;0;Si
47;admin.;Casado;Secundaria;Si;219;Si;no;Desconocido;5;may;577;1;0;Si
48;Independiente;Casado;Secundaria;Si;7;Si;no;Desconocido;5;may;286;1;0;Si
44;obrero;Casado;Secundaria;Si;575;Si;no;Desconocido;5;may;477;1;0;Si
35;estudiante;Soltero;Secundaria;Si;298;Si;no;Desconocido;5;may;611;2;0;Si
35;servicios;Casado;Secundaria;Si;0;Si;no;Desconocido;5;may;471;1;0;Si
50;servicios;Casado;Secundaria;Si;5699;Si;no;Desconocido;5;may;381;2;0;Si
41;Administrador;Casado;Secundaria;Si;176;Si;Si;Desconocido;5;may;42;1;0;Si
41;Administrador;Casado;Secundaria;Si;517;Si;no;Desconocido;5;may;251;1;0;Si
39;servicios;Soltero;Secundaria;Si;257;Si;no;Desconocido;5;may;408;1;0;Si
42;Jubilado;Casado;Secundaria;Si;56;Si;no;Desconocido;5;may;215;1;0;Si
38;obrero;Casado;Secundaria;Si;-390;Si;no;Desconocido;5;may;287;1;0;Si
53;Jubilado;Casado;Secundaria;Si;330;Si;no;Desconocido;5;may;216;2;0;Si
59;Empleada Hogar;divorciado;Secundaria;Si;195;no;no;Desconocido;5;may;366;2;0;Si
36;servicios;Casado;Secundaria;Si;301;Si;no;Desconocido;5;may;210;1;0;Si
54;obrero;Casado;Secundaria;Si;-41;Si;no;Desconocido;5;may;288;1;0;Si
40;técnico;Casado;Secundaria;Si;483;Si;no;Desconocido;5;may;168;1;0;Si
47;desconocido;Casado;Secundaria;Si;28;no;no;Desconocido;5;may;338;2;0;Si
53;desempleado;Casado;Secundaria;Si;13;no;no;Desconocido;5;may;410;3;0;Si
46;Empleada Hogar;Casado;Secundaria;Si;965;no;no;Desconocido;5;may;177;1;0;Si
39;Administrador;Casado;Secundaria;Si;378;Si;Si;Desconocido;5;may;127;2;0;Si
40;desempleado;Casado;Secundaria;Si;219;Si;no;Desconocido;5;may;357;1;0;Si
28;obrero;Casado;Secundaria;Si;324;Si;no;Desconocido;5;may;175;1;0;Si
35;empresario;divorciado;Secundaria;Si;-69;Si;no;Desconocido;5;may;300;1;0;Si
55;Jubilado;Casado;Secundaria;Si;0;no;Si;Desconocido;5;may;136;1;0;Si
43;técnico;divorciado;Secundaria;Si;205;Si;no;Desconocido;5;may;1419;1;0;Si
48;obrero;Casado;Secundaria;Si;278;Si;no;Desconocido;5;may;125;2;0;Si
58;Administrador;Casado;Secundaria;Si;1065;Si;no;Desconocido;5;may;213;3;0;Si
33;Administrador;Soltero;Secundaria;Si;34;Si;no;Desconocido;5;may;27;1;0;Si
36;obrero;Casado;Secundaria;Si;1033;no;no;Desconocido;5;may;238;2;0;Si
53;servicios;divorciado;Secundaria;Si;1467;Si;no;Desconocido;5;may;124;1;0;Si
47;obrero;Casado;Secundaria;Si;-12;Si;no;Desconocido;5;may;18;1;0;Si
31;servicios;Casado;Secundaria;Si;388;Si;no;Desconocido;5;may;730;2;0;Si
57;empresario;Casado;Secundaria;Si;294;Si;no;Desconocido;5;may;746;2;0;Si
53;obrero;Casado;Secundaria;Si;1827;no;no;Desconocido;5;may;121;1;0;Si
55;obrero;Casado;Secundaria;Si;627;Si;no;Desconocido;5;may;247;1;0;Si
45;obrero;Casado;Secundaria;Si;25;Si;no;Desconocido;5;may;40;1;0;Si
53;admin.;divorciado;Secundaria;Si;315;Si;no;Desconocido;5;may;181;2;0;Si
37;obrero;Casado;Secundaria;Si;0;Si;no;Desconocido;5;may;79;1;0;Si
44;admin.;divorciado;Secundaria;Si;66;Si;no;Desconocido;5;may;206;1;0;Si
49;obrero;divorciado;Secundaria;Si;-9;Si;Si;Desconocido;5;may;389;1;0;Si
46;técnico;Casado;Secundaria;Si;349;Si;Si;Desconocido;5;may;127;1;0;Si
43;empresario;Casado;Secundaria;Si;100;Si;no;Desconocido;5;may;702;1;0;Si
38;admin.;Casado;Secundaria;Si;0;no;no;Desconocido;5;may;151;1;0;Si
43;técnico;Casado;Secundaria;Si;434;Si;no;Desconocido;5;may;117;1;0;Si
49;Administrador;Casado;Secundaria;Si;3237;Si;no;Desconocido;5;may;232;3;0;Si
42;Administrador;Casado;Secundaria;Si;275;no;no;Desconocido;5;may;408;2;0;Si
22;obrero;Soltero;Secundaria;Si;0;Si;no;Desconocido;5;may;179;2;0;Si
40;Administrador;Casado;Secundaria;Si;207;Si;no;Desconocido;5;may;39;1;0;Si
39;obrero;Casado;Secundaria;Si;483;Si;no;Desconocido;5;may;282;1;0;Si
51;servicios;Casado;Secundaria;Si;2248;Si;no;Desconocido;5;may;714;2;0;Si
49;admin.;Casado;Secundaria;Si;428;Si;no;Desconocido;5;may;50;1;0;Si
53;obrero;Casado;Secundaria;Si;0;Si;Si;Desconocido;5;may;181;1;0;Si
34;servicios;Soltero;Secundaria;Si;0;Si;no;Desconocido;5;may;142;1;0;Si
33;técnico;divorciado;Secundaria;Si;140;Si;no;Desconocido;5;may;227;1;0;Si
50;Administrador;Soltero;Secundaria;Si;297;Si;no;Desconocido;5;may;119;1;0;Si
39;obrero;Casado;Secundaria;Si;279;Si;no;Desconocido;5;may;361;1;0;Si
59;empresario;divorciado;Secundaria;Si;901;Si;no;Desconocido;5;may;73;3;0;Si
30;técnico;Soltero;Secundaria;Si;2573;Si;no;Desconocido;5;may;67;2;0;Si
36;servicios;Casado;Secundaria;Si;143;Si;Si;Desconocido;5;may;350;1;0;Si
40;obrero;Casado;Secundaria;Si;475;Si;no;Desconocido;5;may;332;2;0;Si
53;obrero;Casado;Secundaria;Si;70;Si;no;Desconocido;5;may;611;2;0;Si
34;Administrador;Soltero;Secundaria;Si;318;Si;no;Desconocido;5;may;113;2;0;Si
37;técnico;Casado;Secundaria;Si;275;Si;no;Desconocido;5;may;132;1;0;Si
42;Administrador;divorciado;Secundaria;Si;742;Si;no;Desconocido;5;may;58;3;0;Si
41;empresario;Casado;Secundaria;Si;236;Si;no;Desconocido;5;may;151;1;0;Si
30;estudiante;Soltero;Secundaria;Si;25;Si;no;Desconocido;5;may;89;2;0;Si
37;Administrador;Soltero;Secundaria;Si;600;Si;no;Desconocido;5;may;152;1;0;Si
39;admin.;divorciado;Secundaria;Si;-349;Si;no;Desconocido;5;may;611;2;0;Si
41;obrero;Casado;Secundaria;Si;183;Si;Si;Desconocido;5;may;110;2;0;Si
40;obrero;Casado;Secundaria;Si;0;Si;no;Desconocido;5;may;463;1;0;Si
42;Administrador;Soltero;Secundaria;Si;0;Si;Si;Desconocido;5;may;562;2;0;Si
40;obrero;divorciado;Secundaria;Si;0;Si;no;Desconocido;5;may;962;1;0;Si
57;técnico;Casado;Secundaria;Si;1078;Si;no;Desconocido;5;may;10;4;0;Si
56;empresario;divorciado;Secundaria;Si;155;no;no;Desconocido;5;may;118;3;0;Si
37;admin.;Casado;Secundaria;Si;190;Si;no;Desconocido;5;may;92;2;0;Si
59;Jubilado;Casado;Secundaria;Si;319;Si;no;Desconocido;5;may;143;3;0;Si
39;servicios;divorciado;Secundaria;Si;-185;Si;no;Desconocido;5;may;189;3;0;Si
49;servicios;Casado;Secundaria;Si;47;no;no;Desconocido;5;may;234;2;0;Si
38;servicios;Soltero;Secundaria;Si;570;Si;no;Desconocido;5;may;75;2;0;Si
36;Independiente;Casado;Secundaria;Si;19;no;no;Desconocido;5;may;189;2;0;Si
50;obrero;Casado;Secundaria;Si;61;Si;no;Desconocido;5;may;621;3;0;Si
41;admin.;Casado;Secundaria;Si;-62;Si;Si;Desconocido;5;may;55;2;0;Si
54;técnico;Casado;Secundaria;Si;258;no;no;Desconocido;5;may;310;4;0;Si
58;obrero;Casado;Secundaria;Si;76;Si;no;Desconocido;5;may;156;2;0;Si
30;obrero;Soltero;Secundaria;Si;0;Si;no;Desconocido;5;may;5;2;0;Si
33;admin.;Soltero;Secundaria;Si;352;Si;no;Desconocido;5;may;225;2;0;Si
47;admin.;Casado;Secundaria;Si;368;Si;no;Desconocido;5;may;125;2;0;Si
50;técnico;Soltero;Secundaria;Si;339;Si;no;Desconocido;5;may;2;3;0;Si
32;obrero;Casado;Secundaria;Si;1331;Si;no;Desconocido;5;may;286;2;0;Si
40;Independiente;Casado;Secundaria;Si;672;Si;no;Desconocido;5;may;164;2;0;Si
37;Administrador;Casado;Secundaria;Si;58;Si;no;Desconocido;5;may;98;2;0;Si
54;técnico;Soltero;Secundaria;Si;447;Si;no;Desconocido;5;may;742;2;0;Si
24;estudiante;Soltero;Secundaria;Si;423;Si;no;Desconocido;5;may;226;3;0;Si
54;Administrador;Casado;Secundaria;Si;0;no;no;Desconocido;5;may;120;2;0;Si
34;técnico;Casado;Secundaria;Si;19;Si;no;Desconocido;5;may;362;4;0;Si
56;técnico;divorciado;Secundaria;Si;13;Si;no;Desconocido;5;may;357;2;0;Si
31;obrero;Soltero;Secundaria;Si;3;Si;no;Desconocido;5;may;200;2;0;Si
24;estudiante;Soltero;Secundaria;Si;82;Si;no;Desconocido;5;may;204;2;0;Si
42;obrero;divorciado;Secundaria;Si;28;Si;no;Desconocido;5;may;126;3;0;Si
57;técnico;Casado;Secundaria;Si;792;Si;no;Desconocido;5;may;65;2;0;Si
42;obrero;Casado;Secundaria;Si;408;Si;no;Desconocido;5;may;107;2;0;Si
51;admin.;Casado;Secundaria;Si;531;Si;no;Desconocido;5;may;267;2;0;Si
57;Jubilado;Casado;Secundaria;Si;211;Si;no;Desconocido;5;may;248;2;0;Si
